date,habit_name,completed,day_type
2021-07-08,Deep Work,1,Weekday
2021-07-08,Morning Run,1,Weekday
2021-07-08,Meditation,0,Weekday
2021-07-09,Deep Work,1,Weekday
2021-07-09,Morning Run,1,Weekday
2021-07-09,Meditation,0,Weekday
2021-07-10,Deep Work,1,Weekend
2021-07-10,Morning Run,1,Weekend
2021-07-10,Meditation,1,Weekend
2021-07-11,Deep Work,0,Weekend
2021-07-11,Morning Run,0,Weekend
2021-07-11,Meditation,1,Weekend
2021-07-12,Deep Work,1,Weekday
2021-07-12,Morning Run,1,Weekday
2021-07-12,Meditation,1,Weekday
2021-07-13,Deep Work,0,Weekday
2021-07-13,Morning Run,1,Weekday
2021-07-13,Meditation,1,Weekday
2021-07-14,Deep Work,1,Weekday
2021-07-14,Morning Run,1,Weekday
2021-07-14,Meditation,0,Weekday
2021-07-15,Deep Work,1,Weekday
2021-07-15,Morning Run,1,Weekday
2021-07-15,Meditation,1,Weekday
2021-07-16,Deep Work,1,Weekday
2021-07-16,Morning Run,0,Weekday
2021-07-16,Meditation,1,Weekday
2021-07-17,Deep Work,0,Weekend
2021-07-17,Morning Run,0,Weekend
2021-07-17,Meditation,0,Weekend
2021-07-18,Deep Work,1,Weekend
2021-07-18,Morning Run,0,Weekend
2021-07-18,Meditation,1,Weekend
2021-07-19,Deep Work,1,Weekday
2021-07-19,Morning Run,0,Weekday
2021-07-19,Meditation,1,Weekday
2021-07-20,Deep Work,1,Weekday
2021-07-20,Morning Run,0,Weekday
2021-07-20,Meditation,1,Weekday
2021-07-21,Deep Work,1,Weekday
2021-07-21,Morning Run,1,Weekday
2021-07-21,Meditation,0,Weekday
2021-07-22,Deep Work,1,Weekday
2021-07-22,Morning Run,1,Weekday
2021-07-22,Meditation,1,Weekday
2021-07-23,Deep Work,1,Weekday
2021-07-23,Morning Run,1,Weekday
2021-07-23,Meditation,1,Weekday
2021-07-24,Deep Work,0,Weekend
2021-07-24,Morning Run,1,Weekend
2021-07-24,Meditation,0,Weekend
2021-07-25,Deep Work,1,Weekend
2021-07-25,Morning Run,0,Weekend
2021-07-25,Meditation,0,Weekend
2021-07-26,Deep Work,1,Weekday
2021-07-26,Morning Run,0,Weekday
2021-07-26,Meditation,0,Weekday
2021-07-27,Deep Work,1,Weekday
2021-07-27,Morning Run,1,Weekday
2021-07-27,Meditation,1,Weekday
2021-07-28,Deep Work,0,Weekday
2021-07-28,Morning Run,0,Weekday
2021-07-28,Meditation,0,Weekday
2021-07-29,Deep Work,1,Weekday
2021-07-29,Morning Run,1,Weekday
2021-07-29,Meditation,1,Weekday
2021-07-30,Deep Work,1,Weekday
2021-07-30,Morning Run,1,Weekday
2021-07-30,Meditation,0,Weekday
2021-07-31,Deep Work,0,Weekend
2021-07-31,Morning Run,0,Weekend
2021-07-31,Meditation,0,Weekend
2021-08-01,Deep Work,1,Weekend
2021-08-01,Morning Run,0,Weekend
2021-08-01,Meditation,1,Weekend
2021-08-02,Deep Work,0,Weekday
2021-08-02,Morning Run,0,Weekday
2021-08-02,Meditation,0,Weekday
2021-08-03,Deep Work,1,Weekday
2021-08-03,Morning Run,0,Weekday
2021-08-03,Meditation,0,Weekday
2021-08-04,Deep Work,1,Weekday
2021-08-04,Morning Run,1,Weekday
2021-08-04,Meditation,0,Weekday
2021-08-05,Deep Work,1,Weekday
2021-08-05,Morning Run,1,Weekday
2021-08-05,Meditation,0,Weekday
2021-08-06,Deep Work,1,Weekday
2021-08-06,Morning Run,1,Weekday
2021-08-06,Meditation,1,Weekday
2021-08-07,Deep Work,1,Weekend
2021-08-07,Morning Run,1,Weekend
2021-08-07,Meditation,0,Weekend
2021-08-08,Deep Work,1,Weekend
2021-08-08,Morning Run,1,Weekend
2021-08-08,Meditation,0,Weekend
2021-08-09,Deep Work,1,Weekday
2021-08-09,Morning Run,1,Weekday
2021-08-09,Meditation,1,Weekday
2021-08-10,Deep Work,1,Weekday
2021-08-10,Morning Run,0,Weekday
2021-08-10,Meditation,1,Weekday
2021-08-11,Deep Work,1,Weekday
2021-08-11,Morning Run,1,Weekday
2021-08-11,Meditation,0,Weekday
2021-08-12,Deep Work,1,Weekday
2021-08-12,Morning Run,0,Weekday
2021-08-12,Meditation,1,Weekday
2021-08-13,Deep Work,1,Weekday
2021-08-13,Morning Run,1,Weekday
2021-08-13,Meditation,0,Weekday
2021-08-14,Deep Work,1,Weekend
2021-08-14,Morning Run,0,Weekend
2021-08-14,Meditation,0,Weekend
2021-08-15,Deep Work,1,Weekend
2021-08-15,Morning Run,0,Weekend
2021-08-15,Meditation,0,Weekend
2021-08-16,Deep Work,1,Weekday
2021-08-16,Morning Run,1,Weekday
2021-08-16,Meditation,1,Weekday
2021-08-17,Deep Work,0,Weekday
2021-08-17,Morning Run,1,Weekday
2021-08-17,Meditation,1,Weekday
2021-08-18,Deep Work,1,Weekday
2021-08-18,Morning Run,1,Weekday
2021-08-18,Meditation,0,Weekday
2021-08-19,Deep Work,1,Weekday
2021-08-19,Morning Run,1,Weekday
2021-08-19,Meditation,0,Weekday
2021-08-20,Deep Work,1,Weekday
2021-08-20,Morning Run,1,Weekday
2021-08-20,Meditation,1,Weekday
2021-08-21,Deep Work,1,Weekend
2021-08-21,Morning Run,1,Weekend
2021-08-21,Meditation,0,Weekend
2021-08-22,Deep Work,1,Weekend
2021-08-22,Morning Run,1,Weekend
2021-08-22,Meditation,0,Weekend
2021-08-23,Deep Work,1,Weekday
2021-08-23,Morning Run,0,Weekday
2021-08-23,Meditation,0,Weekday
2021-08-24,Deep Work,0,Weekday
2021-08-24,Morning Run,0,Weekday
2021-08-24,Meditation,1,Weekday
2021-08-25,Deep Work,1,Weekday
2021-08-25,Morning Run,1,Weekday
2021-08-25,Meditation,0,Weekday
2021-08-26,Deep Work,1,Weekday
2021-08-26,Morning Run,0,Weekday
2021-08-26,Meditation,1,Weekday
2021-08-27,Deep Work,1,Weekday
2021-08-27,Morning Run,1,Weekday
2021-08-27,Meditation,0,Weekday
2021-08-28,Deep Work,1,Weekend
2021-08-28,Morning Run,0,Weekend
2021-08-28,Meditation,0,Weekend
2021-08-29,Deep Work,1,Weekend
2021-08-29,Morning Run,1,Weekend
2021-08-29,Meditation,1,Weekend
2021-08-30,Deep Work,1,Weekday
2021-08-30,Morning Run,1,Weekday
2021-08-30,Meditation,0,Weekday
2021-08-31,Deep Work,1,Weekday
2021-08-31,Morning Run,1,Weekday
